"price","bedrooms","bathrooms","sqft_living","sqft_lot"
364000,3,2.25,1420,6600
357000,5,2.5,2990,9240
305000,4,2.5,1620,4000
234950,2,2.5,1720,3132
1140000,4,3.25,3740,11467
279000,3,2.5,1660,7388
327000,2,1,1140,7435
615000,4,1,1330,2400
680000,3,1.75,1090,6775
292600,3,1.5,1520,7123
510000,5,3.25,3400,4499
478000,3,2.25,1640,3896
719000,3,3,1833,1706
465000,3,2,1430,14250
312000,4,2,1300,7054
305000,5,2.25,2660,8400
655000,4,2.75,3160,8197
290000,3,2.5,2020,4861
469000,3,1.75,1680,2400
480000,2,1,820,4200
239950,3,1.75,1600,4888
790000,4,3.5,3560,6098
690000,3,1,1580,4000
380000,4,2.5,2320,10079
831000,3,2.25,2240,8800
390000,4,1.75,2180,7560
201000,4,1.5,1360,8100
439000,3,2.25,1430,2343
515000,4,2.5,2670,8765
791500,4,2,1510,3500
487028,2,1.5,1295,1093
820000,4,2.5,3720,8633
614950,3,1,1500,2400
565000,4,2,2040,8281
260750,3,2,1560,9635
695000,4,2.5,2790,6540
801000,4,3.5,3290,8059
199988,2,1,860,5000
799950,3,3,2900,11769
305000,3,1.5,1800,12196
325000,4,2.5,1830,7762
416000,3,2.5,1800,5372
883000,4,2.5,2800,6874
8e+05,4,2.5,2930,5000
246950,3,3.5,1790,1682
260000,3,2,1030,7260
325000,4,1.75,1950,12500
395000,4,2.5,2250,6840
241500,3,1,1400,10425
270000,4,2.25,1900,8600
447500,3,1.75,1950,6504
1350000,3,2,2070,9600
223000,3,1.75,1360,10573
212000,4,2,1880,7500
770000,4,1,1480,3750
335000,2,1.75,1030,1066
250000,4,2.75,1910,7700
525000,4,2.75,2530,17856
517500,3,1.75,1810,10625
510000,3,2.5,1420,1237
442250,3,2.5,2170,8169
255000,3,1.75,1550,9720
1430000,3,2.75,2710,9204
350000,5,3,2520,5500
635000,6,2.5,3880,5700
344000,4,2.5,2400,4848
335900,2,1,1120,7440
349950,5,3,2257,10117
310000,3,1,1480,7830
705000,2,2.5,2305,5580
343000,4,2.5,2070,4500
2e+05,4,2,1920,4822
550000,3,2.5,1550,1092
428950,2,1,1760,4441
570000,3,3.5,1460,1021
212000,3,1.75,1100,9750
610000,3,2.5,2060,8893
521900,3,2.5,2100,12338
418000,3,1.75,1530,7238
949950,5,2.5,2340,1989
406500,3,2,1780,8621
339950,2,1,800,3090
3e+05,3,2,1260,2550
250000,3,1.75,1200,5478
1650000,4,3.25,3910,7500
462000,5,1.75,2840,10220
312000,3,1.5,1255,1374
169317,2,1,790,4000
225000,3,2,1320,5665
185000,3,1.5,1200,1848
369000,4,2.5,2370,6557
461000,3,2.25,1620,998
552000,3,1,1120,2300
295500,3,2.5,1410,1332
343000,2,1,1180,9261
367000,3,1,810,7000
367500,3,1.5,1410,9647
525000,4,2.5,3670,9958
780500,5,1,1760,4264
496752,2,1,1980,5000
746300,3,1.75,2060,5721
333800,5,3,1980,3868
640000,3,2,1380,4800
4e+05,4,2.5,2150,5397
330000,3,2.5,2210,7557
888000,3,1.5,1250,8710
890000,4,1,2550,4000
565000,1,1,1370,6250
299950,3,2.25,1370,5000
145000,3,1,1010,11880
185000,3,1,1010,6400
1300000,4,2.25,2360,4000
241500,4,2.5,2500,9654
380000,4,1.75,1790,10186
289950,2,1,760,6000
485000,3,2,1610,4160
419950,3,2.25,1250,811
470000,3,2.5,2280,6134
425000,3,3.25,1410,1350
935000,4,2,1220,7489
628000,3,1.75,4000,11894
327000,3,2.5,1810,7350
1600000,5,3.75,4270,7500
295500,4,2.5,2830,7350
196500,3,1,1320,9000
575000,3,1.75,1890,11141
542500,3,2.5,1920,1649
550000,4,2,1720,4000
565500,3,1.75,1780,5850
208800,3,2.5,1390,2450
765000,4,2.5,3300,10764
327500,3,2.25,2310,7200
360000,5,2.5,2880,6902
725000,3,2,1820,6324
297000,3,2.5,1840,8234
277284,3,1.75,1030,4800
425000,3,1.75,2500,6840
299000,3,2.25,2540,9961
660000,3,1.75,2030,9032
450000,3,1.75,1720,6960
245000,2,1,1020,15000
614285,5,2.75,2730,6401
7e+05,3,2.5,1660,1545
369950,4,2.75,2760,7533
940000,4,2.25,1890,5940
720000,3,1.75,1370,1990
1080000,4,3.25,4800,12727
260000,3,2.5,1520,6298
665000,4,2.5,2720,10000
538200,4,3,1780,7260
588000,4,2.25,2580,7344
250000,5,1.5,2520,5753
352499,2,2.25,1240,705
464000,5,2,2000,3000
328000,2,1,700,4350
823000,5,1.75,2640,7722
484259,4,2.75,2790,5000
425000,3,1.5,1680,8000
534000,4,1.75,2040,2750
540000,5,2.75,3160,10059
1300000,4,4,4270,6002
450000,2,2,1100,3000
798500,3,3,1950,1833
815000,4,3.5,3040,4006
204000,3,1,980,8000
749000,4,2.5,1710,9627
339999,4,2,1740,6369
218000,3,2.25,1610,7084
461000,4,2.75,1700,7495
495000,3,3.5,2380,6250
317500,6,1.75,2540,8400
230000,3,1,1190,9083
690000,3,2,1610,5100
405500,3,1.5,1010,8108
1300000,5,3.5,3700,8504
1240000,4,3.5,3820,13224
532000,3,3.75,2260,2050
502000,2,1,1570,4704
